id,max_corsi,corsi_minmax,conditional_correct,conditional_minmax,mental_accuracy,mental_minmax,spatial_arrag_correct,spatial_arrag_minmax,spatial_rel_correct,spatial_rel_minmax,nvc_count,nvc_count_maxscaled,crt_correct,crt_minmax,NFC,NFC_minmax,verbal,verbal_minmax,wason_correct,wason_minmax,jacc
participant_71,7,0.6666666666666666,0.375,0.375,0.15,0.15,0.7,0.7,0.28125,0.28125,1,0.03125,0.7142857142857143,0.7142857142857143,4.75,0.625,0.0,0.0,0.5,0.5,0.390625
participant_72,7,0.6666666666666666,0.5,0.5,0.0,0.0,0.75,0.75,0.625,0.625,0,0.0,0.14285714285714285,0.14285714285714285,5.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.3455729166666667
participant_73,8,0.7777777777777778,0.375,0.375,0.9473684210526315,0.9473684210526315,0.9,0.9,0.34375,0.34375,0,0.0,0.14285714285714285,0.14285714285714285,5.25,0.7083333333333334,0.125,0.125,0.5,0.5,0.13671875
participant_74,7,0.6666666666666666,0.5,0.5,0.2,0.2,0.55,0.55,0.4166666666666667,0.4166666666666667,4,0.125,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.0,0.0,0.5,0.5,0.27578125
participant_75,6,0.5555555555555556,0.75,0.75,0.6,0.6,0.65,0.65,0.3125,0.3125,4,0.125,0.5714285714285714,0.5714285714285714,3.5,0.4166666666666667,0.0,0.0,0.5,0.5,0.234375
participant_76,7,0.6666666666666666,0.5,0.5,0.6875,0.6875,0.55,0.55,0.78125,0.78125,15,0.46875,0.5714285714285714,0.5714285714285714,3.25,0.375,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5166666666666666
participant_77,7,0.6666666666666666,0.625,0.625,0.4,0.4,0.8,0.8,0.6875,0.6875,5,0.15625,0.42857142857142855,0.42857142857142855,2.5,0.25,0.625,0.625,0.5,0.5,0.2708333333333333
participant_78,7,0.6666666666666666,0.75,0.75,0.4,0.4,0.65,0.65,0.5,0.5,18,0.5625,0.2857142857142857,0.2857142857142857,5.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.453125
participant_79,8,0.7777777777777778,0.5,0.5,0.2,0.2,0.75,0.75,0.375,0.375,6,0.1875,0.42857142857142855,0.42857142857142855,3.75,0.4583333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.20182291666666666
participant_8,9,0.8888888888888888,0.875,0.875,0.8333333333333334,0.8333333333333334,0.65,0.65,0.65625,0.65625,0,0.0,0.5714285714285714,0.5714285714285714,2.25,0.20833333333333334,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6380208333333334
